"","SYMBOL","ID","logFC","P.Value"
"236254_at","VPS13B","236254_at",1.02206486216241,0.104923866755751
"201018_at","EIF1AX","201018_at",1.01867462435889,0.0815860075646377
"229513_at","STRBP","229513_at",1.00893493748289,0.0526029259373846
"235003_at","UHMK1","235003_at",1.00721157118673,0.168702909082368
"39318_at","TCL1A","39318_at",1.0060063250873,0.111553322562603
"1561346_at","LOC101927166","1561346_at",1.00414181138246,0.0797551975990541
"224589_at","XIST","224589_at",1.00394087663712,0.221055939640361
"205511_at","GABPB1-IT1","205511_at",0.997354401143526,0.106023009088276
"242364_x_at","TNRC6C-AS1","242364_x_at",0.992602820206464,0.00157848847550208
"220796_x_at","SLC35E1","220796_x_at",0.990022418045902,0.0679709990618612
"215978_x_at","ZNF721","215978_x_at",0.985255413449602,0.0894584263024047
"222816_s_at","ZCCHC2","222816_s_at",0.982597559852016,0.203066242263284
"213534_s_at","PASK","213534_s_at",0.982379135791724,0.0288237194346405
"216945_x_at","PASK","216945_x_at",0.982096389648109,0.0366995978120577
"234762_x_at","NLN","234762_x_at",0.980800934235874,0.107026197057068
"236367_at","SMG7","236367_at",0.978681812422733,0.0089074879600958
"221992_at","NPIPB15","221992_at",0.978053571169426,0.0208215109239351
"237475_x_at","CCDC152","237475_x_at",0.975816004058267,0.0434709580663091
"226931_at","TMTC1","226931_at",0.967029695222221,0.14017827544485
"213998_s_at","DDX17","213998_s_at",0.964923894712507,0.123562393594967
"220071_x_at","HAUS2","220071_x_at",0.960801818719228,0.0383443194207103
"220113_x_at","POLR1B","220113_x_at",0.957175108224494,0.0607394839241813
"242578_x_at","SLC22A3","242578_x_at",0.954951529352554,0.0613925897833543
"235446_at","XIST","235446_at",0.954536670654539,0.224652887566463
"224828_at","CPEB4","224828_at",0.9543142453476,0.158717195819522
"217550_at","ATF6","217550_at",0.954259581908966,0.0428182155540203
"201017_at","EIF1AX","201017_at",0.951100329858091,0.1750738284492
"222104_x_at","GTF2H3","222104_x_at",0.937478001985943,0.0174184159228713
"244153_at","ZNF207","244153_at",0.934164780709795,0.0326282994954578
"213649_at","SRSF7","213649_at",0.931644803058433,0.0635175342592088
"230337_at","SOS1","230337_at",0.931466639655737,0.0839398307123595
"229498_at","MBNL3","229498_at",0.917016174076365,0.135387625827996
"232001_at","PRKCQ-AS1","232001_at",0.916551292965587,0.0760078631737377
"213158_at","ZBTB20","213158_at",0.911445410778345,0.0307419539793064
"1559097_at","LINC01550","1559097_at",0.910986105806431,0.038740282968803
"209706_at","NKX3-1","209706_at",0.910427904903126,0.209388823383479
"213350_at","RPS11","213350_at",0.910367779267391,0.272825701184898
"237625_s_at","IGKC","237625_s_at",0.90558833409768,0.0310330952502883
"1569142_at","TRIM13","1569142_at",0.901956036288301,0.0594737744239256
"232814_x_at","COA8","232814_x_at",0.899766866676626,0.0334301419638147
"211967_at","TMEM123","211967_at",0.893120143159837,0.237702744310958
"222562_s_at","TNKS2","222562_s_at",0.892759236629842,0.291602770463797
"203427_at","ASF1A","203427_at",0.890539022356561,0.182907017823003
"215067_x_at","PRDX2","215067_x_at",0.888582596569296,0.0270828412637185
